iter	Passed	Remaining
0	8	8716
1	14	7461
2	20	6837
3	25	6340
4	31	6205
5	37	6276
6	42	6089
7	48	5992
8	53	5908
9	58	5796
10	64	5758
11	68	5667
12	73	5572
13	78	5524
14	85	5630
15	92	5674
16	98	5712
17	103	5645
18	108	5609
19	113	5571
20	118	5527
21	123	5490
22	128	5460
23	133	5427
24	138	5402
25	144	5396
26	148	5357
27	153	5339
28	158	5315
29	165	5337
30	170	5341
31	175	5302
32	181	5310
33	186	5301
34	191	5293
35	198	5302
36	204	5318
37	209	5294
38	214	5277
39	219	5277
40	225	5266
41	230	5254
42	235	5232
43	240	5216
44	246	5222
45	252	5233
46	257	5226
47	262	5209
48	267	5197
49	272	5174
50	276	5153
51	283	5174
52	289	5174
53	294	5162
54	299	5148
55	305	5147
56	311	5147
57	316	5135
58	321	5127
59	325	5103
60	331	5096
61	336	5085
62	340	5070
63	345	5057
64	351	5049
65	355	5036
66	360	5021
67	365	5013
68	370	5001
69	376	4998
70	381	4988
71	385	4969
72	390	4954
73	394	4941
74	399	4926
75	403	4911
76	410	4920
77	415	4906
78	420	4901
79	425	4893
80	430	4885
81	435	4877
82	440	4868
83	444	4850
84	449	4841
85	455	4840
86	460	4837
87	465	4827
88	472	4831
89	477	4826
90	483	4826
91	487	4814
92	493	4814
93	499	4813
94	504	4805
95	509	4801
96	515	4794
97	520	4786
98	525	4785
99	531	4782
100	536	4777
101	542	4773
102	547	4765
103	552	4757
104	557	4751
105	562	4746
106	567	4736
107	572	4728
108	578	4729
109	583	4717
110	587	4701
111	592	4699
112	597	4688
113	602	4681
114	606	4670
115	612	4664
116	617	4660
117	623	4657
118	628	4651
119	634	4651
120	639	4645
121	644	4640
122	651	4645
123	656	4640
124	662	4638
125	667	4628
126	672	4620
127	677	4613
128	682	4606
129	686	4597
130	692	4594
131	697	4584
132	701	4574
133	707	4572
134	713	4568
135	716	4554
136	724	4562
137	729	4558
138	734	4549
139	739	4544
140	744	4538
141	749	4529
142	754	4524
143	760	4517
144	764	4506
145	769	4500
146	774	4496
147	779	4490
